x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.29499999999996,0.0,0.0,0.0,357.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.8149999999999,0.0,0.0,238.04999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.1,959.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.9399999999999,0.0,0.0,0.0,0.0,1125.321,389.15999999999997,1225.8539999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.17,0.0,616.17,0.0,0.0,0.0,0.0,648.5999999999999,0.0,648.5999999999999,0.0,0.0,0.0,0.0,616.17,1919.8559999999998,713.4599999999999,486.45,0.0,0.0,739.4039999999999,447.53399999999993,479.96399999999994,0.0,0.0,0.0,0.0,983.955,985.8289528383787,517.5,745.0,705.0,987.8348077922361
0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.606,0.0,0.0,0.0,358.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.7579999999999,0.0,0.0,238.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.36,994.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.264,0.0,0.0,0.0,0.0,1126.9171999999999,389.712,1227.5928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.044,0.0,617.044,0.0,0.0,0.0,0.0,649.52,0.0,649.52,0.0,0.0,0.0,0.0,617.044,1922.5791999999997,714.472,487.14,0.0,0.0,740.4527999999999,448.1687999999999,480.6447999999999,0.0,0.0,0.0,0.0,998.385,995.7835619636304,519.0,772.0,706.0,990.7662524786177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.61039999999997,0.0,0.0,0.0,372.32399999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.7009999999999,0.0,0.0,248.21599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.16,1007.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.384,0.0,0.0,0.0,0.0,1128.5134,390.26399999999995,1229.3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.918,0.0,617.918,0.0,0.0,0.0,0.0,650.4399999999999,0.0,650.4399999999999,0.0,0.0,0.0,0.0,617.918,1925.3023999999998,715.4839999999999,487.83,0.0,0.0,741.5015999999999,448.80359999999996,481.32559999999995,0.0,0.0,0.0,0.0,1014.3499995,1011.788986417364,539.6,782.0,707.0,967.5254188815732
0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.204,0.0,0.0,0.0,376.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.8149999999999,0.0,0.0,251.16000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.22,990.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.2280000000001,0.0,0.0,0.0,0.0,1125.321,389.15999999999997,1225.8539999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.17,0.0,616.17,0.0,0.0,0.0,0.0,648.5999999999999,0.0,648.5999999999999,0.0,0.0,0.0,0.0,616.17,1919.8559999999998,713.4599999999999,486.45,0.0,0.0,739.4039999999999,447.53399999999993,479.96399999999994,0.0,0.0,0.0,0.0,1010.2300005000001,1009.2632354343207,546.0,769.0,705.0,989.1219578091409
0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.649,0.0,0.0,0.0,371.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.986,0.0,0.0,247.70999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.66,975.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0840000000001,0.0,0.0,0.0,0.0,1120.5324,387.50399999999996,1220.6375999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.548,0.0,613.548,0.0,0.0,0.0,0.0,645.8399999999999,0.0,645.8399999999999,0.0,0.0,0.0,0.0,613.548,1911.6863999999998,710.424,484.38,0.0,0.0,736.2575999999999,445.6295999999999,477.92159999999996,0.0,0.0,0.0,0.0,999.0550005,999.7217509160271,538.5,757.0,702.0,1014.3309066689974
0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.7248,0.0,0.0,0.0,396.88800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.043,0.0,0.0,264.59200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.82,1016.2320000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.4680000000001,0.0,0.0,0.0,0.0,1118.9361999999999,386.952,1218.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.674,0.0,612.674,0.0,0.0,0.0,0.0,644.92,0.0,644.92,0.0,0.0,0.0,0.0,612.674,1908.9631999999997,709.4119999999999,483.69,0.0,0.0,735.2087999999999,444.99479999999994,477.2407999999999,0.0,0.0,0.0,0.0,1032.405,1032.9378168173248,575.2,789.0,701.0,1026.5048897949478
0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.3818,0.0,0.0,0.0,417.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.043,0.0,0.0,278.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.26,1065.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.924,0.0,0.0,0.0,0.0,1118.9361999999999,386.952,1218.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.674,0.0,612.674,0.0,0.0,0.0,0.0,644.92,0.0,644.92,0.0,0.0,0.0,0.0,612.674,1908.9631999999997,709.4119999999999,483.69,0.0,0.0,735.2087999999999,444.99479999999994,477.2407999999999,0.0,0.0,0.0,0.0,1067.0899995,1066.1121615811633,605.7,827.0,701.0,1028.1277153693825
0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.9572000000001,0.0,0.0,0.0,426.28200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.929,0.0,0.0,284.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.62,1093.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.188,0.0,0.0,4.69,0.0,1122.1286,388.056,1222.3763999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.4219999999999,0.0,614.4219999999999,0.0,0.0,2.8000000000000003,0.0,646.76,0.0,646.76,0.0,0.0,0.0,0.0,614.4219999999999,1914.4095999999997,711.4359999999999,485.07,0.0,0.0,737.3063999999999,446.26439999999997,478.60239999999993,0.0,0.0,0.0,0.0,1084.6950000000002,1081.552168339856,617.8000000000001,849.0,703.0,1096.9446003064538
0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.8334,0.0,0.0,0.0,434.079,72.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.872,0.0,0.0,289.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.062,21.276,10.244,5.909999999999999,0.0,6.3434,6.303999999999999,7.88,0.0,11.819999999999999,0.0,324.52,1099.952,3.94,11.819999999999999,17.73,0.0,11.819999999999999,0.0,8.668,11.819999999999999,18.912,13.001999999999999,864.2479999999999,0.0,0.0,51.992000000000004,0.0,1123.7248,388.608,1224.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.2959999999999,0.0,615.2959999999999,0.0,0.0,31.04,0.0,647.68,0.0,647.68,0.0,0.0,0.0,0.0,615.2959999999999,1917.1327999999999,712.448,485.76,0.0,0.0,738.3552,446.89919999999995,479.28319999999997,0.0,0.0,0.0,0.0,1093.5649995,1093.7260351285388,629.1,854.0,704.0,1114.893175822461
0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.9856,0.0,0.0,0.0,423.936,256.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.644,0.0,0.0,282.62399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.08800000000001,251.424,121.056,69.84,0.0,74.9616,74.49600000000001,93.12,0.0,139.68,0.0,323.38,1096.088,46.56,139.68,209.52,0.0,139.68,0.0,102.432,139.68,223.488,153.648,861.212,0.0,0.0,164.55200000000002,0.0,1130.1096,390.816,1231.0703999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.7919999999999,0.0,618.7919999999999,0.0,0.0,98.24000000000001,0.0,651.36,0.0,651.36,0.0,0.0,0.0,0.0,618.7919999999999,1928.0255999999997,716.496,488.52,0.0,0.0,742.5504,449.43839999999994,482.0063999999999,0.0,0.0,0.0,0.0,1086.585,1086.3129961820355,614.4,851.0,708.0,1091.6021400938014
